,eng,deu
189,Record this.,Nehmt das auf!
190,It was cold.,Es war kalt.
191,I did it.,Ich hab's gemacht.
192,This is it.,Das ist es.
193,I'm home now.,Ich bin jetzt zu Hause.
194,He can swim.,Er kann schwimmen.
195,I made that.,Ich habe das gemacht.
196,I'm eighteen.,Ich bin 18 Jahre alt.
197,Set Tom free.,Lassen Sie Tom frei!
198,Try to guess.,Ratet mal!
199,I can't read.,Ich kann nicht lesen.
200,I'm freezing.,Ich friere.
201,Trust no one.,Traue keinem!
202,Good for you.,Schön für dich.
203,It was Tom's.,Es hat Tom gehört.
204,Do your best.,Geben Sie Ihr Bestes!
205,I have a map.,Ich habe eine Karte.
206,I rested.,Ich rastete.
207,They're ugly.,Sie sind hässlich.
208,I have $300.,Ich habe dreihundert Dollar.
209,I am right.,Ich habe recht.
210,Wood burns.,Holz brennt.
211,They burned.,Sie brannten.
212,You tried.,Du hast's versucht.
213,Drive safely.,Fahr sicher!
214,I threw up.,Ich habe mich übergeben.
215,I eat cheese.,Ich esse Käse.
216,Be punctual.,Sei pünktlich!
217,Be fair.,Sei fair!
218,She needs it.,Sie braucht sie.
219,Tom refused.,Tom lehnte ab.
220,Don't peek.,Nicht gucken!
221,This stinks.,Das ist Mist.
222,We need you.,Wir brauchen dich.
223,He wants one.,Er will eins.
224,Where's Tom?,Wo ist Tom?
225,Our eyes met.,Unsere Blicke trafen sich.
226,You're next.,Du bist die Nächste.
227,You look hot.,Du siehst erhitzt aus.
228,He was wrong.,Er hatte unrecht.
229,Let us out.,Lass uns heraus!
230,This is ugly.,Das ist grauslich.
231,Go.,Geh.
232,It was big.,Es war groß.
233,That's my CD.,Das ist meine CD.
234,It was night.,Es war Nacht.
235,I admit it.,Ich geb es zu.
236,Let Tom live.,Lass Tom leben!
237,Tom hates it.,Tom hasst es.
238,I don't read.,Ich lese nicht.
239,Are you mad?,Sind Sie wütend?
240,He's not in.,Er ist nicht zuhause.
241,How cute!,Was ist das nicht süß!
242,Who was here?,Wer war hier?
243,That's me.,Ich bin jetzt fertig.
244,Try this on.,Probier die an!
245,Get started.,Leg los.
246,I'll stay.,Ich werde bleiben.
247,Tom is big.,Tom ist groß.
248,I'm touched.,Ich bin gerührt.
249,I'm thirty.,Ich bin dreißig.
250,I'm very shy.,Ich bin sehr schüchtern.
251,I'll quit.,Ich werde abbrechen.
252,Is it time?,Ist es so weit?
253,Tom got lost.,Tom verirrte sich.
254,Tom forgot.,Tom vergaß.
255,Please hurry!,Bitte beeile dich.
256,Go ahead!,Nur zu!
257,This is Tom.,Das ist Tom.
258,Speak French.,Sprechen Sie französisch.
259,Tom is stoic.,Tom ist stoisch.
260,Does it work?,Funktioniert’s?
261,I hate rain.,Ich hasse Regen.
262,Tom agrees.,Tom ist einverstanden.
263,Pick a card.,Nimm eine Karte!
264,I was happy.,Ich war glücklich.
265,I know that.,Ich weiß das.
266,I'm upset.,Ich bin verärgert.
267,He will wait.,Er wird warten.
268,We're awake.,Wir sind wach.
269,Tom left.,Tom ist gegangen.
270,Who spoke?,Wer sprach?
271,Bottoms up!,Zum Wohl!
272,I hate tests.,Ich hasse Tests.
273,Let me leave!,Lass mich gehen!
274,Got it?,Verstanden?
275,I love math.,Ich liebe Mathematik.
276,He's rich.,Er ist reich.
277,Don't cry.,Weinen Sie nicht!
278,I'm a doctor.,Ich bin Arzt.
279,That was bad.,Das war schlecht.
280,You're vain.,Ihr seid eitel.
281,I got you.,Ich habe dich.
282,I need you.,Ich brauche Sie.
283,Learn French.,Lernt Französisch!
284,I never cry.,Ich weine nie.
285,Do your best!,Gebt euer Bestes!
286,I'm yours.,Ich gehöre dir.
287,I hit Tom.,Ich habe Tom geschlagen.
288,Let us out.,Lassen Sie uns heraus!
289,Try it.,Versuch’s!
290,We get on OK.,Wir verstehen uns gut.
291,Vote for me!,Wähle mich!
292,I was bored.,Ich langweilte mich.
293,It's a joke.,Das ist ein Witz.
294,I was cold.,Mir war kalt.
295,Tom cheated.,Tom schummelte.
296,Go with Tom.,Geh mit Tom.
297,I changed.,Ich änderte mich.
298,Tom's thirty.,Tom ist dreißig.
299,I'll follow.,Ich werde folgen.
300,How strange!,Wie seltsam!
301,We'll help.,Wir werden helfen.
302,Talk to me.,Rede mit mir!
303,Tom's filthy.,Tom ist schmutzig.
304,Stop staring.,Hör auf zu starren.
305,Do you teach?,Lehrst du?
306,Tom's sad.,Tom ist traurig.
307,Are you bald?,Hast du eine Glatze?
308,I'm starving.,Ich bin am Verhungern!
309,They're cold.,Sie sind kalt.
310,It's too big.,Er ist zu groß.
311,Get away!,Mach dich vom Acker!
312,Am I hired?,Bin ich eingestellt?
313,I'm not sick.,Ich bin nicht krank.
314,I'm biased.,Ich bin voreingenommen.
315,Tom objected.,Tom erhob Einspruch.
316,Warn Tom.,Warnen Sie Tom.
317,What's new?,Was gibt es Neues?
318,I wept.,Ich habe geweint.
319,I like you.,Du gefällst mir.
320,I deserve it.,Ich habe es verdient.
321,They approve.,Sie heißen es gut.
322,Say goodbye.,Sag „Auf Wiedersehen!“!
323,Who's goalie?,Wer ist der Torhüter?
324,Tom shaved.,Tom rasierte sich.
325,Come on!,Kommt!
326,Go home.,Geh nach Hause.
327,Tom coughed.,Tom hustete.
328,They're blue.,Sie sind blau.
329,Learn French.,Lerne Französisch!
330,I'm not fat.,Ich bin nicht dick!
331,Tom saw it.,Tom sah es.
332,Count me in.,Zähl mich dazu.
333,I'm artistic.,Ich bin künstlerisch veranlagt.
334,I love them.,Ich liebe sie.
335,Who quit?,Wer ist ausgeschieden?
336,It's a fake.,Das ist eine Fälschung.
337,I try.,Ich probiere es.
338,Excuse me.,Es tut mir leid.
339,You can rest.,Sie können sich ausruhen.
340,You're wise.,Du bist weise.
341,I want money.,Ich will Geld.
342,Go away.,Schwirr ab!
343,It's yours.,Es ist deins.
344,I waited.,Ich habe gewartet.
345,Drive on.,Fahr weiter.
346,Vote for me!,Wählen Sie mich!
347,I need you.,Ich brauche dich.
348,Get away!,Verschwinde!
349,Who cheated?,Wer betrog?
350,Tom insisted.,Tom beharrte.
351,Tom knows.,Tom weiß es.
352,It helps.,Das hilft.
353,I can ski.,Ich kann Ski fahren.
354,I kissed Tom.,Ich habe Tom geküsst.
355,Please go.,Bitte gehen Sie.
356,I knelt down.,Ich kniete mich hin.
357,Tom knew it.,Tom kannte es.
358,We lost it.,Wir rasteten aus.
359,I saw that.,Das habe ich gesehen.
360,Check that.,Prüfen Sie das nach!
361,They called.,Sie sind vorbeigekommen.
362,We're home.,Wir sind zu Hause.
363,We have time.,Wir haben Zeit.
364,This is meat.,Das ist Fleisch.
365,Try harder.,Gib dir mehr Mühe.
366,Go on home.,Geh nach Hause.
367,Tom ran off.,Tom lief weg.
368,Tom is happy.,Tom ist glücklich.
369,Excuse me.,Entschuldigung.
370,Tom insisted.,Tom bestand darauf.
371,Is Tom lying?,Lügt Tom?
372,Start again.,Fang noch einmal an.
373,Who told Tom?,Wer hat es Tom erzählt?
374,I never sing.,Ich singe nie.
375,Nobody came.,Niemand kam.
376,Tom loves me.,Tom liebt mich.
377,Push it.,Drück drauf.
378,They laughed.,Sie haben gelacht.
379,Will this do?,Wird das ausreichend sein?
380,Are you tidy?,Bist du ordentlich?
381,He has a dog.,Er hat einen Hund.
382,She helps us.,Sie hilft uns.
383,I don't care.,Es ist mir egal.
384,Can you read?,Können Sie lesen?
385,Duty calls.,Die Pflicht ruft.
386,Tom is young.,Tom ist jung.
387,I'll get you.,Ich hole dich.
388,Let's do it!,Tun wir's!
389,Keep still.,Halt still!
390,It isn't bad.,Es ist nicht schlecht.
391,They danced.,Sie tanzten.
392,Turn it on.,Machen Sie es an!
393,I'll see Tom.,Ich werde Tom treffen.
394,Tom sweated.,Tom hat geschwitzt.
395,They knew me.,Sie kannten mich.
396,I lost.,Ich habe verloren.
397,Be prepared.,Sei gewappnet!
398,Is he right?,Hat er recht?
399,I keep a dog.,Ich halte einen Hund.
400,I like music.,Ich mag Musik.
401,I'll talk.,Ich werde reden.
402,Choose one.,Suche eines aus.
403,Tom ran off.,Tom ist weggelaufen.
404,We love Tom.,Wir lieben Tom.
405,Release Tom.,Lassen Sie Tom frei!
406,They sweated.,Sie schwitzten.
407,Nobody knows.,Niemand weiß es.
408,Are you fair?,Bist du gerecht?
409,We'll try.,Wir werden es versuchen.
410,How cute!,Wie süß!
411,Tom frowned.,Tom blickte finster drein.
412,Put it there.,Stelle es dahin.
413,She bit him.,Sie hat ihn gebissen.
414,I found it.,Ich habe ihn gefunden.
415,Look at us.,Schau uns an.
416,Put it on.,Setz ihn auf.
417,Give it up.,Gib es auf!
418,Go there now.,Geh da jetzt hin!
419,Listen.,Hört zu.
420,This'll work.,Dies wird klappen.
421,I will walk.,Ich werde zu Fuß gehen.
422,I dumped Tom.,Ich gab Tom den Laufpass.
423,I improvised.,Ich habe es improvisiert.
424,I feel blue.,Ich bin traurig.
425,I moaned.,Ich ächzte.
426,She's a babe.,Sie ist ein Hammer!
427,Turn right.,Rechts abbiegen!
428,Tom felt sad.,Tom fühlte sich traurig.
429,Are you here?,Bist du da?
430,Vote for me!,Gib mir deine Stimme!
431,Is he tall?,Ist er groß?
432,Are you home?,Bist du zu Hause?
433,I'm dying.,Ich werde bald sterben.
434,Kiss Tom.,Küssen Sie Tom!
435,Get out.,Geht raus!
436,I can swim.,Ich kann schwimmen.
437,I can see it.,Ich kann es sehen.
438,Flip a coin.,Werfen Sie eine Münze.
439,We smiled.,Wir lächelten.
440,Tom is busy.,Tom ist beschäftigt.
441,Tom cheats.,Tom betrügt.
442,Do they know?,Wissen sie es?
443,Tom fell.,Tom ist gefallen.
444,What is love?,Was ist Liebe?
445,Are you Tom?,Bist du Tom?
446,Let me in.,Lass mich herein.
447,Is that fun?,Macht das Spaß?
448,Stop Tom.,Halten Sie Tom auf!
449,Tom nodded.,Tom nickte.
450,Tom has OCD.,Tom leidet unter Zwängen.
451,That's cruel.,Das ist grausam.
452,I want these.,Ich möchte diese.
453,It's night.,Es ist Nacht.
454,Come home.,Komm heim!
455,We knew that.,Wir wussten das.
456,Move over.,Rutsch mal ein Stück!
457,Mary giggled.,Maria kicherte.
458,Make a list.,Macht eine Liste.
459,Please eat.,Esst bitte!
460,They're cold.,Es ist ihnen kalt.
461,I like fish.,Ich esse gerne Fisch.
462,Go away!,Schwirr ab!
463,I'm a medic.,Ich bin Arzt.
464,Tom isn't OK.,Tom ist nicht in Ordnung.
465,Tom knows.,Tom weiß Bescheid.
466,Just say no.,Sag einfach nein.
467,Mary is tall.,Maria ist groß.
468,Wait up.,Wartet mal!
469,Keep warm.,Halt dich warm.
470,I'm serious.,Es ist mein Ernst.
471,I'm so sorry.,Das tut mir sehr leid.
472,Are you tall?,Bist du groß?
473,Tom is short.,Tom ist klein.
474,You're kind.,Du bist nett.
475,Leave now.,Geht jetzt!
476,I tried hard.,Ich habe mir große Mühe gegeben.
477,Tom may stay.,Tom darf bleiben.
478,Run faster.,Lauf schneller!
479,Tom wants it.,Tom will es.
480,Where is it?,Wo ist er?
481,Tom is heavy.,Tom ist schwer.
482,Tom is naked.,Tom ist nackt.
483,Read this.,Lies das hier.
484,You're wise.,Ihr seid weise.
485,They waited.,Sie warteten.
486,I've checked.,Ich habe nachgeschaut.
487,Try to smile.,Versuch doch mal zu lächeln.
488,Put it on.,Setz sie auf.
489,I'm at home.,Ich bin zu Hause.
490,I like sugar.,Ich mag Zucker.
491,Give me half.,Gib mir die Hälfte.
492,Tom is glad.,Tom ist froh.
493,Drive faster.,Fahren Sie schneller.
494,I sell fruit.,Ich verkaufe Obst.
495,I panicked.,Ich geriet in Panik.
496,I fixed it.,Ich habe ihn repariert.
497,Open up.,Mach auf!
498,Is this love?,Ist das hier Liebe?
499,Keep this.,Behalte das!
500,We'll scream.,Wir werden schreien.
501,Look closer.,Schaut genauer hin.
502,Keep it.,Behaltet sie!
503,He dumped me.,Er hat mich sitzenlassen.
504,That's tea.,Das ist Tee.
505,We'll attack.,Wir greifen an.
506,Take a seat.,Setz dich hin!
507,Keep down.,Bleib unten.
508,This is tea.,Das ist Tee.
509,See you!,Tschüss!
510,Forget it.,Das kannst du knicken.
511,They're free.,Sie sind frei.
512,War is bad.,Krieg ist schlecht.
513,Tom noticed.,Tom hat es bemerkt.
514,What's up?,"Na, wie geht's?"
515,We can't win.,Wir können nicht gewinnen.
516,Did Tom fall?,Ist Tom gefallen?
517,Math is hard.,Mathe ist schwer.
518,Tom got home.,Tom kam nach Hause.
519,Go that way.,Gehen Sie da lang!
520,Tom broke in.,Tom brach ein.
521,We all lie.,Wir lügen alle.
522,You lost.,Du hast verloren.
523,I saw to it.,Ich habe dafür gesorgt.
524,Let Tom stay.,Lassen Sie Tom bleiben.
525,Turn it on.,Schalte es an.
526,Let's walk.,Lasst uns gehen.
527,It can't be!,Das kann nicht sein!
528,Lock it.,Schließ es ab.
529,I'm lying.,Ich lüge.
530,My arm hurts.,Mir tut der Arm weh.
531,Come alone.,Kommt allein.
532,We agreed.,Wir stimmten zu.
533,Who are we?,Wer sind wir?
534,Tom lost.,Tom hat verloren.
535,I'll be nice.,Ich werde brav sein.
536,It's Tom.,Es ist Tom.
537,He is poor.,Er ist arm.
538,Can you move?,Können Sie sich bewegen?
539,Fire!,Feuer!
540,You need us.,Ihr braucht uns.
541,What a pity!,Wie schade!
542,I miss you.,Du fehlst mir.
543,I'm horrible.,Ich bin schrecklich.
544,Tom is fun.,Tom ist lustig.
545,I met Tom.,Ich habe Tom getroffen.
546,Sit still.,Sitzen Sie still.
547,Take my car.,Nehmen Sie meinen Wagen!
548,You need me.,Ihr braucht mich.
549,Why bother?,Was soll's bringen?
550,Drink this.,Trink das hier!
551,Tom braked.,Tom bremste.
552,Wait for us.,Warten Sie auf uns!
553,I'm bald.,Ich bin glatzköpfig.
554,It snowed.,Es hat geschneit.
555,They'll come.,Sie werden kommen.
556,I relaxed.,Ich entspanne mich.
557,That a boy!,Guter Junge!
558,Bring him in.,Hol ihn herein!
559,We're doomed.,Wir sind verloren!
560,It worked.,Das hat funktioniert.
561,Tom is good.,Tom ist brav.
562,Tom rocks.,Tom ist super.
563,Vote for Tom.,Gib Tom deine Stimme.
564,Stop Tom.,Halte Tom auf!
565,I'm shooting.,Ich schieße.
566,That's great.,Das ist großartig.
567,Is this true?,Ist das wahr?
568,Stop lying.,Hört auf zu lügen!
569,Write me.,Schreibt mir!
570,Touch it.,Fass es an.
571,Let's begin.,Lasst uns loslegen.
572,I do hope so.,Das hoffe ich.
573,Get away!,Verdufte!
574,Tom saw her.,Tom hat sie gesehen.
575,We need you.,Wir brauchen Sie.
576,I stayed.,Ich blieb.
577,Turn it up.,Mach es lauter.
578,I love pizza.,Ich liebe Pizza.
579,Try to sleep.,Versuchen Sie zu schlafen!
580,Can we come?,Können wir kommen?
581,I'm losing.,Ich bin am Verlieren.
582,I am better.,Ich bin besser.
583,I like math.,Ich liebe Mathematik.
584,I'm chubby.,Ich bin pummelig.
585,Loosen it.,Dreh es auf.
586,That does it.,Das tut es.
587,Stand up!,Steht auf!
588,Go away.,Scher dich fort!
589,Do something.,Macht doch was!
590,I'm staying.,Ich bleib’.
591,Who survived?,Wer überlebte?
592,Trust me.,Vertraut mir!
593,I found you.,Ich habe dich gefunden.
594,Don't be shy.,Sei nicht so schüchtern.
595,I won again.,Ich habe wieder gewonnen.
596,He is heroic.,Er ist heldenhaft.
597,Tom got shot.,Tom wurde erschossen.
598,He was busy.,Er war beschäftigt.
599,Tom was late.,Tom verspätete sich.
600,Send Tom in.,Schick Tom herein!
601,Grab Tom.,Hol Tom.
602,I'm ready!,Ich bin soweit!
603,Tom's hurt.,Tom ist verletzt.
604,Get lost!,Verzieh dich!
605,I made rice.,Ich habe Reis gemacht.
606,She is upset.,Sie ist bestürzt.
607,Tom waved.,Tom winkte.
608,Can you walk?,Können Sie gehen?
609,I'm addicted.,Ich bin der Sucht verfallen.
610,Here it is.,Hier ist es.
611,He got away.,Er ist davongekommen.
612,Tom is early.,Tom ist früh dran.
613,I hate this.,Ich hasse die.
614,Tom took off.,Tom nahm sich frei.
615,"I cried, too.",Ich weinte auch.
616,We need more.,Wir brauchen mehr.
617,You idiot!,Du Idiot!
618,She is wrong.,Sie irrt sich.
619,Lunch is on.,Mittagessen ist fertig.
620,I know her.,Ich kenne sie.
621,I like fish.,Ich mag Fisch gern.
622,It's urgent.,Es eilt.
623,It's strange.,Das ist ja seltsam.
624,I resigned.,Ich bin zurückgetreten.
625,Is it far?,Ist das weit?
626,Are you busy?,Sind Sie beschäftigt?
627,Should we go?,Sollen wir lieber gehen?
628,Do come in.,Kommen Sie doch rein!
629,I like milk.,Ich mag Milch.
630,I'm early.,Ich bin früh dran.
631,Tom has left.,Tom ist gegangen.
632,Watch me.,Schauen Sie mir zu.
633,Hold on.,Warten Sie kurz!
634,Let me try.,Lass mich versuchen.
635,Are we done?,Sind wir fertig?
636,It's mine.,Er gehört mir.
637,Catch Tom.,Fange Tom!
638,Are you lost?,Haben Sie sich verirrt?
639,Who is she?,Wer ist sie?
640,Go away.,Verschwinde!
641,We're early.,Wir sind zeitig.
642,He let us go.,Er ließ uns gehen.
643,Tom promised.,Tom versprach es.
644,Answer me.,Antworten Sie mir.
645,Is Tom crazy?,Ist Tom verrückt?
646,I listened.,Ich hörte zu.
647,Tom died.,Tom ist gestorben.
648,Are we alone?,Sind wir unter uns?
649,Tom found us.,Tom hat uns gefunden.
650,Life goes on.,Das Leben geht weiter.
651,I need time.,Ich brauche Zeit.
652,May I cut in?,Darf ich mal kurz dazwischengehen?
653,I'm not dead.,Ich bin nicht tot.
654,Is Tom alone?,Ist Tom allein?
655,Tom winked.,Tom zwinkerte.
656,Come over!,Komm hierher!
657,I'll be late.,Ich verspäte mich.
658,Come here.,Komm her!
659,No one cared.,Niemand scherte sich darum.
660,I'll do that.,Ich mache das.
661,Tom paid me.,Tom hat mich bezahlt.
662,Cook for me.,Koche für mich.
663,Tom is older.,Tom ist älter.
664,Tom's young.,Tom ist jung.
665,I always win.,Ich gewinne immer.
666,That's true.,Das stimmt.
667,Keep calm.,Bleiben Sie ruhig.
668,Tom came.,Tom ist gekommen.
669,I admire Tom.,Ich bewundere Tom.
670,Turn it on.,Schalte ihn an.
671,Are you new?,Bist du neu?
672,I found you.,Ich fand dich.
673,Tom's ugly.,Tom ist hässlich.
674,Let me try.,Lass mich mal probieren.
675,Don't bug me.,Nerv mich nicht.
676,We applauded.,Wir klatschten.
677,Cook for me.,Koch für mich!
678,Stay with me.,Bleib bei mir.
679,I like candy.,Ich mag Süßigkeiten.
680,This is hers.,Das ist ihres.
681,You are good.,Du bist gut.
682,I'm cured.,Ich bin geheilt.
683,Who fell?,Wer ist gefallen?
684,He can come.,Er kann kommen.
685,I want a job.,Ich will Arbeit.
686,I'll use it.,Ich werde es verwenden.
687,Say it again.,Sage es noch einmal.
688,It's Tom's.,Das gehört Tom.
689,No one knows.,Das weiß niemand.
690,I'm sad now.,Jetzt bin ich traurig.
691,"Oh, come on.","Ach, komm schon!"
692,They lost.,Sie haben verloren.
693,This is me.,Das bin ich.
694,We applauded.,Wir haben applaudiert.
695,Find a job.,Besorgt euch einen Job.
696,Tom's alone.,Tom ist allein.
697,Tom's scared.,Tom hat Angst.
698,Tom phoned.,Tom telefonierte.
699,May I cut in?,Darf ich unterbrechen?
700,Stay calm.,Bleiben Sie ruhig.
701,It's bedtime.,"Zeit, ins Bett zu gehen!"
702,He's Swiss.,Er ist Schweizer.
703,I'm tidy.,Ich bin ordentlich.
704,Nobody slept.,Niemand hat geschlafen.
705,Look again.,Schau nochmal hin.
706,I'm not evil.,Ich bin nicht böse.
707,They're blue.,Sie sind niedergeschlagen.
708,It is foggy.,Es ist neblig.
709,I'll go now.,Ich werde jetzt gehen.
710,Is it legal?,Ist das legal?
711,I can cook.,Ich kann kochen.
712,I frowned.,Ich runzelte die Stirn.
713,He runs fast.,Er rennt schnell.
714,I was lying.,Ich habe gelegen.
715,I've lost.,Ich habe verloren.
716,We waited.,Wir warteten.
717,Seriously?,Ernsthaft?
718,Here we go.,Los geht's.
719,Terrific!,Hervorragend!
720,Tom tried.,Tom versuchte es.
721,We failed.,Wir haben versagt.
722,Is Tom alive?,Ist Tom am Leben?
723,Nobody died.,Niemand ist gestorben.
724,I asked Tom.,Ich habe Tom gefragt.
725,Tom's joking.,Tom macht Witze.
726,I fell.,Ich fiel hin.
